Epoch 0, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 1, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 2, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 3, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 4, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 0, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 1, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 2, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 3, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 4, imagination strategy TopK, NDCG_cold: 0.0093, NDCG_overall: 0.1194
Epoch 0, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 1, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 2, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 3, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 4, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 0, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 1, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 0, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 1, imagination strategy TopK, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 0, imagination strategy Random, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 0, imagination strategy Proposed, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 1, imagination strategy Proposed, NDCG_cold: 0.0092, NDCG_overall: 0.1194
Epoch 2, imagination strategy Proposed, NDCG_cold: 0.0093, NDCG_overall: 0.1180
